epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,751.765,2.09344,1.54138,1.5731,0.67825,0.84615,0.80428,0.39657,1.85024,1.42212,1.50006,0.00133938,0.000446462,0.00133938,0.000446462,0.00133938,0.000446462,0.00133938,0.000446462
53,766.369,2.13421,1.63482,1.52942,0.75949,0.89079,0.88021,0.41664,1.84588,1.40155,1.49441,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
54,780.702,2.04016,1.52239,1.5414,0.89411,0.86617,0.90914,0.42823,1.81516,1.36372,1.48034,0.00115662,0.000385538,0.00115662,0.000385538,0.00115662,0.000385538,0.00115662,0.000385538
55,795.089,2.04768,1.5137,1.59515,0.82171,0.84615,0.86949,0.42806,1.79937,1.32398,1.47202,0.00106523,0.000355077,0.00106523,0.000355077,0.00106523,0.000355077,0.00106523,0.000355077
56,809.721,2.01634,1.85425,1.65654,0.80488,0.92308,0.87873,0.43491,1.82324,1.34868,1.46526,0.000973846,0.000324615,0.000973846,0.000324615,0.000973846,0.000324615,0.000973846,0.000324615
57,825.136,1.84945,1.60076,1.5867,0.91293,0.87179,0.91565,0.42025,1.82119,1.33194,1.45733,0.000882462,0.000294154,0.000882462,0.000294154,0.000882462,0.000294154,0.000882462,0.000294154
58,839.379,1.84717,1.62597,1.59661,0.91004,0.82051,0.90344,0.41635,1.82193,1.33435,1.45367,0.000791077,0.000263692,0.000791077,0.000263692,0.000791077,0.000263692,0.000791077,0.000263692
59,854.281,1.93775,1.62531,1.5447,0.87004,0.79487,0.87344,0.41224,1.80602,1.33029,1.44813,0.000699692,0.000233231,0.000699692,0.000233231,0.000699692,0.000233231,0.000699692,0.000233231
60,868.668,1.86085,1.64801,1.65027,0.84675,0.85012,0.87976,0.42236,1.80727,1.33575,1.44201,0.000608308,0.000202769,0.000608308,0.000202769,0.000608308,0.000202769,0.000608308,0.000202769
61,884.16,1.88179,1.593,1.60503,0.82981,0.87521,0.90437,0.44315,1.78468,1.32948,1.44074,0.000516923,0.000172308,0.000516923,0.000172308,0.000516923,0.000172308,0.000516923,0.000172308
62,898.705,1.81154,1.54556,1.64976,0.84624,0.84671,0.90464,0.44058,1.77842,1.37208,1.44174,0.000425538,0.000141846,0.000425538,0.000141846,0.000425538,0.000141846,0.000425538,0.000141846
63,913.583,1.86831,1.62072,1.56754,0.86824,0.84485,0.86714,0.44605,1.78043,1.33372,1.44091,0.000334154,0.000111385,0.000334154,0.000111385,0.000334154,0.000111385,0.000334154,0.000111385
64,928.434,1.84918,1.60522,1.61527,0.89279,0.85429,0.91189,0.43936,1.78058,1.3243,1.43722,0.000242769,8.09231e-05,0.000242769,8.09231e-05,0.000242769,8.09231e-05,0.000242769,8.09231e-05
65,943.743,1.85087,1.60081,1.60595,0.89716,0.89479,0.91218,0.43912,1.77526,1.30154,1.43829,0.000151385,5.04615e-05,0.000151385,5.04615e-05,0.000151385,5.04615e-05,0.000151385,5.04615e-05
